# estar	 lambda	 rho	 errBayes	 errBoot	 A/A0	 likelihood

0.48114 2.0 1.1790430869320655e-08 2.952107499264833e-09 2.365454099733641e-09 0.004572231049193736 -918.2599997174698
0.48114 1.0 1.3008915113127843e-08 3.7933806827650014e-09 2.59014880513104e-09 0.004265872244226541 -917.4996659040039
0.48114 0.9375 1.3131891313561646e-08 3.888770380811043e-09 2.615265452389985e-09 0.004241301282777613 -917.3360516868963
0.48114 0.6875 1.376398560511506e-08 4.394469466940459e-09 2.758694881090774e-09 0.004121789864274402 -916.390367104461
0.48114 0.4375 1.4851111598449314e-08 5.286440443644489e-09 3.0761792178130195e-09 0.0039275004397206666 -914.6435071460902
0.48114 0.1875 1.759601795453372e-08 7.539630198370364e-09 4.2945525535585444e-09 0.003453147499549544 -910.650261555874
0.48114 0.171875 1.7927932048608125e-08 7.819016321517926e-09 4.4788977056232255e-09 0.0033968097895166575 -910.2066204181464
0.48114 0.109375 1.9723187557967192e-08 9.430097803247538e-09 5.621355000726724e-09 0.003092764423237592 -907.8350160288089
0.56133 2.0 3.2050492526570185e-08 4.981093736709743e-09 3.3558508818131066e-09 0.020183404934289797 -917.8006624172173
0.56133 1.0 3.2312444418257214e-08 6.4653897243569565e-09 4.728908217783981e-09 0.01610671355030666 -918.0877681024467
0.56133 0.9375 3.238851969551574e-08 6.6194366880206e-09 4.875877791847721e-09 0.015745623258811643 -917.9935797272797
0.56133 0.6875 3.2909911977535e-08 7.400485637405039e-09 5.6150346211575095e-09 0.014103103786516077 -917.3310088354824
0.56133 0.4375 3.42226575173716e-08 8.672498982011259e-09 6.774036739196275e-09 0.012025756946571648 -915.8756625948098
0.56133 0.1875 3.9004772303325434e-08 1.158815267570407e-08 9.329035471509248e-09 0.00894908624124312 -912.1800811914666
0.56133 0.171875 3.969199715664303e-08 1.193284647439168e-08 9.6401625657726e-09 0.008669214564110355 -911.7554654528709
0.56133 0.109375 4.384001132820936e-08 1.386911982129557e-08 1.1465004962325262e-08 0.007281663087701618 -909.4639395288751
