# estar	 lambda	 rho	 errBayes	 errBoot	 A/A0	 likelihood

0.29118 0.171875 2.7393162274453777e-08 1.3446603819102172e-08 7.752684227939506e-09 0.005231855598069992 -826.5082287990648
0.29118 0.109375 2.6788112332169662e-08 1.629168596024418e-08 8.517539748913068e-09 0.005061126584688114 -824.7027895366901
0.33971 2.0 5.2449536552782245e-08 7.250577556144756e-09 4.064559885075694e-09 0.024302023324910077 -835.8055488048936
0.33971 1.0 4.6850860671443635e-08 9.741181586611591e-09 5.228572492827375e-09 0.022274263224103953 -833.7725431321287
0.33971 0.9375 4.619110319896015e-08 1.0013747046276183e-08 5.385991347672106e-09 0.02205162332498286 -833.5637541509143
0.33971 0.6875 4.266247093177216e-08 1.1428359776262493e-08 6.2833808716981e-09 0.020902215380705892 -832.5352982203299
0.33971 0.4375 3.6501208470272405e-08 1.3817946382170193e-08 8.025175150671956e-09 0.019042729083288256 -830.9900400802136
0.33971 0.1875 2.3008013534401723e-08 1.9487396162096078e-08 1.2483123389945575e-08 0.015516204003691919 -827.9856284876306
0.33971 0.171875 2.16238905868368e-08 2.0171240166689645e-08 1.3005826444733378e-08 0.015187004111025585 -827.6648670193707
0.33971 0.109375 1.4951730606959544e-08 2.4092933602290703e-08 1.5879153174185472e-08 0.013624646082700857 -825.9390533886258
0.38824000000000003 2.0 8.609790527357427e-08 1.0012513283065188e-08 6.134425225180575e-09 0.058302893770066345 -836.4221343176126
0.38824000000000003 1.0 7.838852592604419e-08 1.3141120336401446e-08 9.148801683997587e-09 0.04682277896869858 -834.607671656821
0.38824000000000003 0.9375 7.746596896331056e-08 1.3464892672372891e-08 9.473179650759937e-09 0.04577176112837432 -834.4102387294267
0.38824000000000003 0.6875 7.248496350163619e-08 1.5100864835071784e-08 1.113449263540849e-08 0.04084590201414256 -833.4218683346406
0.38824000000000003 0.4375 6.357143226090318e-08 1.772885565589203e-08 1.3872050479509373e-08 0.03413256896001264 -831.9066359407857
0.38824000000000003 0.1875 4.2780434965842125e-08 2.3477169762533943e-08 2.0004068422831883e-08 0.02353880415239238 -828.9509484398018
0.38824000000000003 0.171875 4.0527644300018676e-08 2.4133250494697316e-08 2.0687622943989346e-08 0.022641378066079323 -828.6385950995394
0.38824000000000003 0.109375 2.9300480419702028e-08 2.7781337365456174e-08 2.4266452167235554e-08 0.01866655475157246 -826.9702223114198
0.43677 2.0 1.24036135657995e-07 1.1936785755542578e-08 8.360607307955676e-09 0.09740507981338412 -836.8447231924868
0.43677 1.0 1.1936441503373878e-07 1.5334112477907394e-08 1.2019271719452537e-08 0.07374832641784722 -835.2953887370663
